N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
60,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
88,0.0
90,0.0
91,1.0
92,0.0
95,0.0
96,1.0
98,0.0
99,0.0
100,0.0
102,0.0
104,0.0
105,1.0
108,0.0
110,0.0
112,0.0
114,0.0
115,0.0
117,0.99951171875
119,0.0
120,0.0
121,0.0
125,0.0
126,0.0
128,0.0
130,0.0
132,0.99951171875
133,0.0
135,0.0
136,0.99951171875
138,0.0
140,0.0
143,0.0
144,0.0
147,0.0
150,0.0
152,0.0
153,0.0
154,0.99951171875
156,0.0
160,0.0
161,0.0
162,0.0
165,0.991455078125
168,0.0
169,0.162353515625
170,0.0
171,0.0
175,0.0
176,0.0
180,0.0
182,0.0
184,0.991455078125
187,0.0
189,0.991455078125
190,0.0
192,0.0
195,0.210693359375
196,0.0
198,0.0
200,0.162353515625
204,0.0
207,0.0
208,0.0
209,0.0
210,0.210693359375
216,0.162353515625
220,0.0
221,0.214599609375
224,0.0
225,0.162353515625
228,0.0
230,0.0
231,0.214599609375
234,0.210693359375
238,0.0
240,0.214599609375
242,0.162353515625
247,0.20947265625
250,0.0
252,0.0
253,0.214599609375
255,0.0
256,0.0
260,0.0
264,0.0
266,0.0
270,1.0
272,1.001953125
273,0.0
275,0.0
276,0.0
280,0.0
285,0.0
286,1.0
288,0.0
289,1.01220703125
294,0.0
299,0.0
300,1.001953125
304,0.0
306,0.0
308,1.001953125
312,0.0
315,1.01220703125
320,1.03369140625
322,0.0
323,1.011474609375
324,0.0
325,1.011474609375
330,1.03369140625
336,0.0
338,1.011474609375
340,0.0
342,0.999755859375
345,0.0
350,1.011474609375
352,0.0
357,0.975830078125
360,0.0
361,1.000244140625
364,0.975830078125
368,0.0
374,0.0
375,0.999755859375
378,0.0
380,0.0
384,0.999755859375
390,1.000244140625
391,0.0
396,1.000244140625
399,1.0
400,1.000244140625
408,0.0
414,1.000244140625
416,1.002197265625
418,0.0
420,0.0
425,1.0
432,0.0
437,1.0009765625
440,1.003662109375
441,0.0
442,1.003662109375
450,0.0
456,0.0
460,0.0
462,0.99853515625
468,0.0
475,0.0
480,1.004638671875
483,0.0
484,0.0
494,0.0
500,0.99853515625
504,1.010986328125
506,0.9990234375
520,0.0
525,0.992919921875
528,0.99853515625
529,1.000244140625
546,0.99853515625
550,0.0
552,1.000244140625
572,1.000244140625
575,1.0
576,0.0
598,0.998779296875
600,0.0
624,1.004150390625
625,1.00390625
650,0.0
676,0.0
