N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.9990234375
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
87,0.0
88,0.0
90,0.0
91,0.0
92,0.0
93,0.0
95,0.0
96,0.0
98,0.0
99,0.0
100,0.0
102,1.0
104,0.0
105,1.0
108,0.0
110,1.0
112,0.0
114,0.0
115,0.0
116,0.0
117,0.0
119,0.0
120,0.0
121,0.0
124,0.0
125,0.0
126,0.0
128,0.0
130,0.0
132,0.0
133,0.0
135,0.0
136,0.0
138,0.0
140,0.0
143,0.0
144,0.0
145,0.0
147,1.000244140625
150,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
160,0.0
161,0.0
162,0.0
165,0.0
168,0.0
169,0.0
170,0.0
171,0.0
174,0.0
175,0.0
176,0.0
180,0.0
182,0.0
184,0.0
186,0.0
187,0.0
189,0.0
190,0.0
192,0.0
195,0.0
196,0.0
198,0.0
200,0.0
203,0.0
204,0.0
207,0.0
208,0.0
209,0.0
210,0.0
216,0.0
217,0.0
220,0.0
221,0.0
224,0.0
225,0.0
228,0.0
230,0.0
231,0.0
232,0.0
234,0.0
238,0.0
240,0.0
242,0.0
243,0.0
247,1.000244140625
248,0.0
250,0.0
252,1.000244140625
253,0.0
255,0.0
256,0.0
260,0.0
261,0.0
264,0.0
266,0.0
270,1.000244140625
272,1.540283203125
273,0.0
275,0.0
276,0.0
279,1.000244140625
280,0.0
285,1.0
286,0.0
288,0.0
289,0.0
290,0.0
294,0.0
297,1.540283203125
299,1.0
300,0.0
304,0.0
306,1.0
308,0.0
310,1.540283203125
312,0.0
315,0.0
319,1.540283203125
320,0.0
322,0.0
323,0.0
324,0.0
325,0.0
330,1.0
336,1.540283203125
338,1.0
340,0.0
341,0.0
342,0.0
345,0.0
348,0.0
350,0.0
351,1.540283203125
352,0.0
357,0.0
360,0.0
361,0.0
364,0.0
368,0.0
372,0.0
374,0.0
375,0.0
377,0.0
378,1.0
380,0.0
384,0.0
390,0.0
391,0.0
392,0.0
396,0.0
399,1.0
400,0.0
403,0.0
405,0.0
406,1.0
408,0.0
414,0.0
416,0.0
418,0.0
420,0.0
425,0.0
432,0.0
434,1.0
435,0.0
437,0.0
440,1.0
441,0.0
442,0.0
448,1.0
450,1.0
456,0.999755859375
459,1.0
460,0.0
462,1.00146484375
464,1.0
465,0.0
468,0.0
475,0.0
476,1.0
480,0.0
483,0.999755859375
484,1.00048828125
486,1.00146484375
493,0.0
494,0.999755859375
496,0.0
500,1.00146484375
504,1.0
506,0.999755859375
510,1.00048828125
512,0.999755859375
513,1.00146484375
520,1.000244140625
522,0.999755859375
525,0.0
527,1.0
528,0.0
529,1.00048828125
532,0.0
540,1.00048828125
544,0.999755859375
546,0.998779296875
550,0.0
551,0.0
552,0.999755859375
558,0.999755859375
560,1.00048828125
567,0.0
570,0.0
572,1.00048828125
575,1.0
576,1.00048828125
580,0.999755859375
588,0.0
589,1.00048828125
594,0.999755859375
598,0.0
600,1.0
608,1.00048828125
609,0.999755859375
616,0.9990234375
620,1.0
621,0.0
624,0.99853515625
625,0.999755859375
630,0.0
638,0.99853515625
640,0.0
644,0.99853515625
648,1.0
650,1.0
651,0.99853515625
660,0.999755859375
667,0.0
672,0.999755859375
675,1.000244140625
676,1.0009765625
682,0.999755859375
690,1.0
696,1.000244140625
700,0.999755859375
702,1.402587890625
704,1.0009765625
713,0.999755859375
720,1.000244140625
725,1.0009765625
728,1.00341796875
729,1.0
736,1.402587890625
744,1.0009765625
750,1.00341796875
754,0.99951171875
756,0.999755859375
768,1.0
775,0.99951171875
780,1.0
783,1.583251953125
784,1.0
800,1.583251953125
806,0.999755859375
810,0.51123046875
812,1.0
832,1.0
837,0.82421875
840,1.999755859375
841,1.0
864,1.999755859375
868,1.000244140625
870,1.0
896,1.0
899,0.999267578125
900,0.99951171875
928,0.998779296875
930,1.0
960,2.000244140625
961,2.0
992,0.999755859375
1024,1.0
