N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
60,0.0
63,0.0
64,0.0
65,1.00244140625
66,0.0
68,0.0
69,1.00244140625
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
88,0.0
90,0.0
91,0.0
92,0.0
95,0.0
96,0.0
98,0.99951171875
99,0.999267578125
100,0.99951171875
102,0.0
104,0.999755859375
105,0.99951171875
108,0.9990234375
110,0.999755859375
112,0.0
114,0.99951171875
115,0.0
117,0.0
119,0.0
120,0.999267578125
121,0.999755859375
126,0.999755859375
128,1.000244140625
130,1.000244140625
132,0.0
133,0.0
135,0.999755859375
136,0.0
138,0.999755859375
140,0.0
143,1.0
144,1.000244140625
147,0.999755859375
150,3.000732421875
152,1.000244140625
153,0.9990234375
154,0.0
156,2.000244140625
160,1.000244140625
161,3.000732421875
162,1.0
165,2.0
168,0.999755859375
169,2.00341796875
170,2.000244140625
171,2.0
176,1.0
180,0.999755859375
182,1.999755859375
184,2.00341796875
187,1.501953125
189,2.0
190,2.000244140625
192,1.0
195,2.251953125
196,2.004150390625
198,2.0
200,1.501953125
204,1.999755859375
207,1.999755859375
208,3.5283203125
209,2.506591796875
210,1.999755859375
216,2.251953125
220,3.5283203125
221,2.156005859375
224,2.99951171875
225,3.00244140625
228,2.004150390625
230,2.156005859375
231,2.00341796875
234,3.000244140625
238,2.999755859375
240,3.5283203125
242,2.999755859375
247,3.000244140625
252,2.99951171875
253,2.999755859375
255,4.6533203125
256,4.990478515625
260,3.00244140625
264,4.6533203125
266,4.390869140625
270,4.908203125
272,5.0
273,4.908203125
276,3.00244140625
280,3.999755859375
285,4.999755859375
286,4.990478515625
288,4.908203125
289,5.50537109375
294,5.0
299,4.990478515625
300,5.579833984375
304,5.011474609375
306,6.253662109375
308,5.011474609375
312,5.0
315,5.50537109375
320,9.009033203125
322,4.990478515625
323,6.961669921875
324,6.501953125
330,6.253662109375
336,6.961669921875
340,9.295654296875
342,7.50634765625
345,9.295654296875
352,6.961669921875
357,8.00634765625
360,6.501953125
361,8.5078125
368,6.501953125
374,7.50634765625
378,9.00830078125
380,10.407470703125
384,9.00830078125
391,8.5078125
396,11.1015625
399,10.3681640625
400,11.0107421875
408,10.3681640625
414,10.407470703125
418,12.4091796875
420,12.673583984375
432,11.0107421875
437,12.508544921875
440,13.883544921875
441,13.033203125
456,13.883544921875
460,15.997802734375
462,14.794921875
480,13.033203125
483,16.472412109375
484,16.444580078125
504,18.22314453125
506,19.68505859375
528,24.052734375
529,25.69677734375
552,22.530029296875
576,25.056884765625
