N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
18,0.0
20,0.0
21,0.0
22,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
35,0.0
36,0.0
39,0.0
40,0.0
42,1.000244140625
44,0.0
45,0.0
48,0.0
49,0.0
50,0.999755859375
52,0.0
54,0.0
55,0.0
56,0.999755859375
60,0.0
63,0.998779296875
64,0.0
65,0.0
66,1.000732421875
70,0.0
72,0.0
75,0.998779296875
77,0.0
78,0.0
80,0.0
81,1.158935546875
84,0.0
88,0.0
90,0.0
91,0.0
96,0.0
98,0.0
99,0.0
100,1.00048828125
104,0.0
105,1.158935546875
108,1.003173828125
110,1.0
112,1.003173828125
117,0.999755859375
120,1.00048828125
121,1.026611328125
126,1.0
130,1.000244140625
132,1.002197265625
135,1.026611328125
140,1.969970703125
143,1.0009765625
144,1.00439453125
150,1.0009765625
154,0.999267578125
156,2.002685546875
165,1.00439453125
168,1.0
169,2.00244140625
180,2.012451171875
182,2.501220703125
195,1.926025390625
196,2.002685546875
210,1.999755859375
225,3.502685546875
