N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.999755859375
40,0.0
42,0.0
44,0.999755859375
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
60,0.0
63,0.0
64,0.0
65,0.509521484375
66,0.0
68,0.0
69,0.0
70,0.0
72,0.509521484375
75,0.0
76,0.0
77,0.999755859375
78,0.0
80,0.0
81,0.0
84,0.999755859375
85,0.0
88,0.0
90,0.999755859375
91,0.0
92,0.999755859375
95,0.0
96,0.0
98,0.0
99,0.99951171875
100,0.0
102,0.0
104,0.999755859375
105,0.0
108,0.999755859375
110,0.0
112,1.0
114,0.0
115,0.999755859375
117,1.234619140625
119,0.0
120,0.99951171875
121,1.004638671875
126,0.999755859375
128,1.001708984375
130,0.999755859375
132,0.0
133,1.234619140625
135,0.0
136,0.99853515625
138,0.0
140,0.897705078125
143,0.50927734375
144,1.234619140625
147,1.004638671875
150,2.0
152,0.0
153,2.0
154,1.004638671875
156,1.0
160,1.004638671875
161,2.0
162,0.50927734375
165,2.004638671875
168,0.999755859375
169,2.3271484375
170,1.0
171,2.004638671875
176,0.50927734375
180,1.004638671875
182,2.99951171875
184,2.3271484375
187,1.998291015625
189,1.0
190,2.004638671875
192,2.3271484375
195,1.999267578125
196,2.992431640625
198,2.0
200,2.99951171875
204,3.510009765625
207,2.3271484375
208,3.0
209,2.0
210,1.999267578125
216,2.99951171875
220,3.0
221,2.4013671875
224,3.1796875
225,3.33837890625
228,2.4013671875
230,2.3271484375
231,2.4013671875
234,3.00244140625
238,3.0
240,2.992431640625
242,1.999267578125
247,3.0
252,3.1796875
253,2.992431640625
255,4.5830078125
256,4.001708984375
260,3.33837890625
264,4.5830078125
266,4.99951171875
270,5.159912109375
272,5.092529296875
273,3.33837890625
276,5.159912109375
280,4.001708984375
285,4.50537109375
286,4.5830078125
288,5.054443359375
289,5.999755859375
294,5.092529296875
299,4.001708984375
300,5.054443359375
304,5.807861328125
306,6.4462890625
308,5.999755859375
315,5.054443359375
320,6.201416015625
322,5.999755859375
323,6.425048828125
324,7.01123046875
330,6.425048828125
336,6.4462890625
340,8.704833984375
342,10.148681640625
345,7.01123046875
352,8.704833984375
357,7.01123046875
360,8.383056640625
361,8.011474609375
368,8.383056640625
374,10.148681640625
378,10.013671875
380,9.907470703125
391,8.011474609375
396,10.913818359375
399,11.0107421875
400,10.896484375
414,11.0107421875
418,11.48388671875
420,12.145263671875
437,10.896484375
440,14.0078125
441,13.92919921875
460,15.264892578125
462,15.416748046875
483,16.578125
484,17.1171875
506,18.043701171875
529,20.610595703125
