N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.0
40,1.000732421875
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,1.50927734375
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.505859375
77,0.0
78,1.50927734375
80,0.506103515625
81,0.0
84,0.0
85,0.0
87,0.0
88,1.50927734375
90,0.0
91,0.513427734375
92,1.50927734375
93,0.0
95,1.50927734375
96,0.0
98,0.0
99,0.0
100,0.0
102,0.513427734375
104,0.0
105,0.0
108,0.0
110,0.513427734375
112,0.0
114,0.0
115,1.0
116,0.513427734375
117,0.0
119,1.3818359375
120,0.0
121,0.5263671875
124,0.513427734375
125,0.0
126,1.004638671875
128,0.513427734375
130,1.3818359375
132,0.0
133,0.0
135,0.0
136,0.0
138,1.3818359375
140,0.0
143,1.026123046875
144,0.0
145,0.513427734375
147,1.004150390625
150,0.0
152,1.000732421875
153,1.0048828125
154,1.0
155,1.004150390625
156,0.0
160,1.000732421875
161,0.0
162,0.5263671875
165,1.0048828125
168,0.999755859375
169,1.486572265625
170,0.0
171,1.998046875
174,1.0048828125
175,0.99951171875
176,1.000244140625
180,0.5263671875
182,0.0
184,1.00048828125
186,1.026123046875
187,1.985595703125
189,0.5263671875
190,1.026123046875
192,1.998046875
195,2.513671875
196,1.026123046875
198,2.516357421875
200,1.985595703125
203,2.516357421875
204,0.5263671875
207,1.026123046875
208,1.486572265625
209,2.012939453125
210,1.985595703125
216,1.467529296875
217,1.486572265625
220,2.012939453125
221,2.000732421875
224,2.40087890625
225,2.012939453125
228,2.468017578125
230,2.012939453125
231,0.5263671875
232,2.012939453125
234,1.486572265625
238,2.468017578125
240,2.516357421875
242,1.486572265625
243,2.513671875
247,4.25390625
248,2.513671875
250,2.468017578125
252,2.513671875
253,2.000732421875
255,4.39697265625
256,2.012939453125
260,2.468017578125
261,2.034423828125
264,3.005126953125
266,3.999755859375
270,2.513671875
272,4.25390625
273,3.52783203125
275,2.468017578125
276,3.52783203125
279,3.999755859375
280,4.25390625
285,5.00634765625
286,3.999755859375
288,4.39697265625
289,4.905029296875
290,4.39697265625
294,5.12255859375
297,2.000732421875
299,5.12255859375
300,5.00634765625
304,5.00244140625
306,5.12255859375
308,4.39697265625
310,5.00634765625
312,4.001708984375
315,6.107177734375
319,4.39697265625
320,6.107177734375
322,5.00244140625
323,6.54150390625
