N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.95068359375
40,0.0
42,0.0
44,0.0
45,0.0
46,0.95068359375
48,0.0
49,0.0
50,0.95068359375
51,0.0
52,0.0
54,0.0
55,0.0
56,0.95068359375
57,0.0
58,0.0
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
87,0.0
88,0.0
90,0.0
91,1.001220703125
92,0.0
93,0.0
95,0.0
96,0.0
98,0.0
99,0.0
100,0.0
102,0.0
104,0.0
105,0.0
108,0.0
110,0.0
112,1.001220703125
114,0.0
115,0.0
116,0.0
117,0.0
119,0.0
120,0.0
121,0.0
124,0.0
125,0.0
126,0.0
128,0.0
130,0.0
132,0.0
133,0.0
135,0.0
136,0.0
138,0.0
140,0.0
143,0.0
144,0.0
145,1.001220703125
147,0.997314453125
150,0.0
152,0.99951171875
153,1.00390625
154,0.0
155,0.997314453125
156,0.0
160,0.99951171875
161,0.0
162,0.0
165,1.00390625
168,1.001220703125
169,0.999755859375
170,0.0
171,0.0
174,0.0
175,0.0
176,0.0
180,0.99951171875
182,0.0
184,0.0
186,0.0
187,2.051513671875
189,0.0
190,0.9990234375
192,2.051513671875
195,1.000244140625
196,0.0
198,0.0
200,2.051513671875
203,0.0
204,0.0
207,1.0009765625
208,0.999755859375
209,0.569580078125
210,2.051513671875
216,0.0
217,0.999755859375
220,0.569580078125
221,1.0
224,2.051513671875
225,0.999755859375
228,1.0
230,0.0
231,0.569580078125
232,1.0
234,1.000244140625
238,0.999755859375
240,1.0
242,1.14794921875
243,0.999755859375
245,1.000244140625
247,1.503662109375
248,1.000244140625
250,1.0
252,1.000244140625
253,1.0
255,2.000244140625
256,0.569580078125
260,0.999755859375
261,1.000244140625
264,1.14794921875
266,2.0029296875
270,1.0
272,0.999755859375
273,2.21435546875
275,1.0
276,0.999755859375
279,2.21435546875
280,1.0
285,2.0078125
286,2.0029296875
288,2.000244140625
289,3.221923828125
290,0.999755859375
294,1.999755859375
297,2.0078125
299,1.544921875
300,1.999755859375
304,2.9990234375
306,0.999755859375
308,2.0029296875
310,1.999755859375
312,1.544921875
315,2.9990234375
319,2.000244140625
320,2.0078125
322,2.0
323,3.501953125
324,2.0
325,2.9990234375
330,2.0078125
336,2.000244140625
338,3.221923828125
340,2.0029296875
341,3.221923828125
342,4.00244140625
345,3.001708984375
348,3.501953125
350,3.221923828125
351,3.001708984375
