N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
34,1.0009765625
35,0.0
36,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
60,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
88,0.0
90,0.0
91,0.999755859375
92,0.0
95,0.0
96,0.0
98,0.0
99,0.503662109375
100,0.999755859375
102,0.0
104,0.0
105,0.0
108,0.999755859375
110,1.0029296875
112,0.0
114,0.0
115,0.999755859375
117,0.0
119,0.0
120,0.503662109375
121,0.0
125,0.0
126,0.0
128,0.99951171875
130,0.999755859375
132,0.99951171875
133,1.000244140625
135,0.503662109375
136,0.0
138,0.0
140,0.99951171875
143,0.99951171875
144,0.99951171875
147,0.0
150,0.0
152,0.0
153,0.0
154,0.0
156,0.503662109375
160,0.0
161,0.0
162,0.0
165,0.0
168,0.99951171875
169,1.02099609375
170,0.999755859375
171,0.0
175,0.0
176,0.0
180,0.999755859375
182,0.503662109375
184,0.99951171875
187,1.000244140625
189,0.99951171875
190,0.0
192,1.000244140625
195,1.0263671875
196,1.0009765625
198,0.99951171875
200,1.02099609375
204,1.0
207,0.0
208,0.99951171875
209,1.0
210,1.0263671875
216,1.02099609375
220,1.00439453125
221,0.51904296875
224,1.9990234375
225,1.02099609375
228,1.0048828125
230,1.0009765625
231,0.51904296875
234,1.0263671875
238,1.003662109375
240,1.9990234375
242,1.0263671875
243,1.0009765625
247,0.999755859375
250,1.02099609375
252,1.00390625
253,1.9990234375
255,1.000244140625
256,2.002197265625
260,1.003662109375
264,1.9990234375
266,2.002197265625
270,1.000244140625
272,2.000244140625
273,1.000244140625
275,1.9990234375
276,1.000244140625
280,2.0
285,2.999755859375
286,2.002197265625
288,2.002197265625
289,3.0
294,2.000244140625
297,2.002197265625
299,1.000244140625
300,2.000244140625
304,1.999755859375
306,2.505859375
308,1.999755859375
312,2.000244140625
315,3.0
320,3.570556640625
322,2.002197265625
323,3.3916015625
324,1.999755859375
325,3.570556640625
330,3.0
336,2.505859375
338,2.000244140625
340,3.00146484375
342,4.002685546875
345,3.3916015625
350,2.505859375
351,3.0
352,4.00439453125
357,3.50634765625
360,3.00146484375
361,4.573974609375
364,4.002685546875
368,3.00146484375
374,2.999755859375
375,3.50634765625
378,3.3916015625
380,4.415283203125
384,4.573974609375
390,4.002685546875
391,3.91455078125
396,4.573974609375
399,5.000244140625
400,4.002685546875
405,4.573974609375
408,4.415283203125
414,4.573974609375
416,5.62353515625
418,6.1064453125
420,5.51171875
425,5.000244140625
432,6.1064453125
437,5.578857421875
440,6.08056640625
441,7.759033203125
442,5.578857421875
450,5.51171875
456,5.99462890625
459,6.08056640625
460,6.998291015625
462,9.02490234375
468,6.998291015625
475,7.759033203125
480,7.536865234375
483,7.562255859375
484,8.451171875
486,7.759033203125
494,9.02490234375
500,7.562255859375
504,8.457275390625
506,9.016357421875
513,8.451171875
520,8.457275390625
525,8.451171875
528,9.55859375
529,10.01220703125
540,9.55859375
546,9.016357421875
550,11.022705078125
552,10.494384765625
567,10.01220703125
572,11.838623046875
575,10.505859375
576,11.007080078125
594,10.505859375
598,13.02490234375
600,13.001220703125
621,11.007080078125
624,14.572021484375
625,15.260009765625
648,14.550048828125
650,16.314208984375
675,17.560546875
676,17.012939453125
702,19.60205078125
729,21.160400390625
