N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
18,0.0
20,0.0
21,0.0
22,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
35,0.0
36,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
48,0.0
49,0.0
50,0.0
52,0.0
54,0.0
55,0.0
56,0.0
60,0.0
63,0.99951171875
64,0.0
65,0.0
66,0.0
70,0.0
72,0.0
75,0.0
77,0.0
78,0.99951171875
80,0.0
81,0.999755859375
84,0.0
88,1.000244140625
90,0.99951171875
91,0.0
96,1.000244140625
98,0.0
99,0.0
100,0.0
104,0.0
105,0.999755859375
108,0.0
110,0.0
112,0.0
117,0.0
120,0.0
121,1.501953125
126,0.0
128,0.0
130,1.000244140625
132,0.507080078125
135,1.501953125
140,0.0
143,0.0
144,1.501953125
150,0.507080078125
154,1.00244140625
156,0.999755859375
160,1.00244140625
165,0.0
168,1.001708984375
169,0.0
176,1.001708984375
180,0.999755859375
182,1.0
192,0.0
195,1.00146484375
196,0.507080078125
208,1.502685546875
210,1.00341796875
224,1.999755859375
225,0.99951171875
240,2.000244140625
256,1.999755859375
