N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
30,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,0.0
45,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.9990234375
56,0.0
57,0.0
60,0.9990234375
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
70,0.0
72,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
84,0.0
85,0.0
88,0.0
90,0.0
91,0.502197265625
95,0.0
96,1.0
98,0.0
99,0.0
100,0.0
102,0.0
104,0.0
105,0.0
108,0.0
110,0.0
112,0.0
114,0.0
117,1.00048828125
119,0.0
120,0.999755859375
121,0.503173828125
126,0.0
128,0.0
130,1.003173828125
132,0.3857421875
133,0.0
135,1.003173828125
136,0.503173828125
140,0.0
143,0.616943359375
144,0.0
150,0.99951171875
152,0.503173828125
153,0.3857421875
154,0.0
156,0.99951171875
160,0.0
162,0.616943359375
165,1.0
168,1.000732421875
169,0.999267578125
170,1.0
171,1.000732421875
176,1.000732421875
180,1.000732421875
182,0.99951171875
187,1.000732421875
190,0.999267578125
192,0.0
195,0.999755859375
196,0.900146484375
198,0.99951171875
204,0.999755859375
208,0.999755859375
209,0.999267578125
210,1.063232421875
216,0.900146484375
221,1.0
224,0.998779296875
225,2.03076171875
228,0.998779296875
234,1.063232421875
238,2.00048828125
240,1.003662109375
247,2.03076171875
252,1.00048828125
255,2.001220703125
256,1.5029296875
266,2.001220703125
270,1.99755859375
272,2.4169921875
285,1.5029296875
288,2.0
289,3.169189453125
304,3.000732421875
306,2.2568359375
323,1.9990234375
324,1.999755859375
342,2.505126953125
361,4.6669921875
