N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
82,0.0
84,0.0
85,0.99951171875
87,0.0
88,0.507568359375
90,0.0
91,0.503173828125
92,0.99951171875
93,0.0
95,0.0
96,0.0
98,0.433837890625
99,0.0
100,0.0
102,0.503173828125
104,0.0
105,0.0
108,0.0
110,0.0
111,0.99951171875
112,0.0
114,0.0
115,0.0
116,0.503173828125
117,0.0
119,1.013671875
120,0.433837890625
121,0.501953125
123,0.0
124,0.0
125,0.0
126,0.0
128,0.503173828125
130,0.0
132,0.433837890625
133,0.996337890625
135,0.503173828125
136,1.013671875
138,0.433837890625
140,0.0
143,0.38525390625
144,0.0
145,1.013671875
147,0.0
148,1.013671875
150,0.996337890625
152,0.433837890625
153,0.999755859375
154,0.997314453125
155,0.501953125
156,0.996337890625
160,0.0
161,0.0
162,0.997314453125
164,0.999755859375
165,0.0
168,0.501953125
169,0.90966796875
170,1.013671875
171,0.0
174,0.0
175,0.996337890625
176,0.0
180,0.0
182,0.0
184,0.0
185,0.997314453125
186,0.999755859375
187,0.617431640625
189,0.0
190,0.0
192,0.501953125
195,0.0
196,0.0
198,0.38525390625
200,0.501953125
203,0.0
204,0.0
205,0.999755859375
207,1.000244140625
208,0.617431640625
209,0.99951171875
210,0.38525390625
216,0.617431640625
217,0.0
220,0.99951171875
221,1.0029296875
222,0.99951171875
224,1.000244140625
225,0.999755859375
228,0.90966796875
230,1.001953125
231,0.99951171875
232,1.000244140625
234,0.90966796875
238,0.501953125
240,1.001953125
242,1.000244140625
243,0.99951171875
245,0.90966796875
246,0.617431640625
247,1.999755859375
248,1.0029296875
250,0.90966796875
252,1.000244140625
253,1.0029296875
255,1.99951171875
256,0.99951171875
259,0.617431640625
260,1.0
261,1.000244140625
264,1.0029296875
266,1.000244140625
270,2.041748046875
272,1.999755859375
273,1.000244140625
275,1.999755859375
276,2.0029296875
279,1.999755859375
280,1.0029296875
285,1.999755859375
286,1.0029296875
287,1.99951171875
288,1.999755859375
289,2.50439453125
290,1.0029296875
294,1.955810546875
296,1.999755859375
297,1.0029296875
299,1.999755859375
300,1.955810546875
304,1.000244140625
