N,Time (ms)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
68,0.0
69,0.0
70,0.0
72,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
80,0.0
81,0.0
82,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
90,0.0
91,0.0
92,0.0
93,0.0
95,0.0
96,0.0
98,1.0
99,0.0
100,0.0
102,0.0
104,0.0
105,0.0
108,0.0
110,0.0
111,0.0
112,0.0
114,0.0
115,0.0
116,0.0
117,0.0
119,0.0
120,1.0
121,1.001953125
123,1.0
124,0.0
125,0.999755859375
126,0.0
128,1.0
129,0.0
130,0.0
132,0.0
133,0.0
135,1.0
136,0.0
138,0.0
140,0.0
143,0.0
144,0.0
145,1.001953125
147,0.0
148,0.0
150,0.0
152,0.0
153,0.504150390625
154,1.0
155,0.0
156,0.0
160,0.0
161,0.0
162,1.001953125
164,0.0
165,0.0
168,1.001953125
169,1.0
170,0.0
171,0.0
172,0.0
174,0.0
175,0.0
176,1.070556640625
180,0.0
182,0.0
184,1.000732421875
185,1.0
186,0.0
187,0.99853515625
189,1.0
190,1.000732421875
192,1.0
195,0.0
196,0.0
198,0.0
200,1.000732421875
203,0.0
204,0.0
205,1.0
207,1.0029296875
208,0.0
209,0.999267578125
210,0.0
215,0.99853515625
216,0.925048828125
217,0.999267578125
220,0.99853515625
221,1.5029296875
222,1.001953125
224,0.0
225,1.001953125
228,1.000732421875
230,0.0
231,0.99853515625
232,1.001953125
234,0.0
238,0.999267578125
240,0.99853515625
242,1.000732421875
243,0.999267578125
245,1.0
246,0.0
247,1.505126953125
248,1.5029296875
250,1.0
252,1.000732421875
253,1.5029296875
255,2.019775390625
256,0.0
258,1.0
259,1.001953125
260,0.0
261,1.5029296875
264,0.0
266,0.999267578125
270,1.0
272,1.5029296875
273,1.000732421875
275,1.5029296875
276,1.00048828125
279,1.505126953125
280,1.5029296875
285,2.95556640625
286,1.5029296875
287,1.505126953125
288,2.019775390625
289,2.0107421875
290,1.5029296875
294,2.95556640625
296,1.5029296875
297,1.002685546875
299,2.0
300,1.505126953125
301,0.0
304,1.5029296875
306,2.0
308,1.505126953125
310,2.019775390625
312,2.95556640625
315,2.019775390625
319,0.999755859375
320,2.019775390625
322,2.95556640625
